date,no_individuals,latitude,longitude
2008-08-04,3,57.281,163.676
2008-08-05,1,57.315,163.749
2008-08-05,2,57.232,163.704
2008-08-05,2,57.246,163.653
2008-08-05,1,57.333,163.764
2008-08-07,1,57.333,163.764
2008-08-08,2,57.216,163.647
2008-08-08,3,57.265,163.675
2008-08-09,1,57.277,164.024
2008-08-09,1,57.308,163.766
2008-08-11,3,57.097,163.532
2008-08-21,2,57.034,164.443
2008-08-21,1,56.93,164.44
2008-08-21,1,57,164.5045
2008-08-22,2,56.92,164.363
2008-08-22,1,56.938,164.49
2008-08-22,1,56.892,164.779
2008-08-23,2,56.945,164.656
2008-08-23,1,56.939,164.486
2008-08-28,1,57.2683,163.5167
2008-08-28,1,57.4383,164.63
2008-08-28,2,57.4383,164.6283
2008-09-03,1,56.841,164.715
2008-09-04,1,56.732,164.489
2008-09-04,1,56.844,164.596
2008-09-04,2,56.754,164.587
2009-07-24,3,57.324,162.893
2009-07-25,5,57.216,162.887
2009-07-26,1,57.1955,161.0832
2009-07-31,2,57.232,163.334
2009-07-31,1,57.1542,163.2208
2009-07-31,1,57.1578,163.3625
2009-08-01,1,57.2358,163.5075
2009-08-01,1,57.2708,163.4867
2009-08-01,1,57.243,163.221
2009-08-01,7,57.279,163.466
2009-08-07,2,57.3208,163.9025
2009-08-14,1,57.262,163.688
2009-08-14,1,57.2823,163.7565
2009-08-14,2,57.279,163.7798
2009-08-14,3,57.289,163.78
2009-08-15,1,57.2757,164.0536
2009-08-15,1,57.1906,164.6343
2009-08-15,1,57.1906,164.6343
2009-08-15,1,57.1467,163.9517
2009-08-15,1,57.339,164.2478
2009-08-22,1,57.245,164.2034
2009-08-22,1,57.1631,163.9158
2009-08-22,2,57.1379,163.859
2009-08-22,2,57.745,164.969
2009-08-23,1,57.1432,163.9366
2009-08-23,1,57.2024,164.0767
2009-08-23,1,57.2133,164.1169
2009-08-23,1,57.14,163.892
2009-08-24,1,57.2844,164.1548
2009-08-24,1,57.8239,165.1857
2009-08-24,1,57.3472,164.3295
2009-08-24,1,57.162,163.905
2009-08-25,2,57.5357,164.7994
2010-09-18,1,57.45,164.661
2011-08-13,4,57.407,164.778
2012-11-27,1,63.786,170.539
2017-08-06,2,57.6083,160.725
2017-08-08,6,57.6283,160.4917
2017-08-09,1,57.3633,163.1083
2017-09-08,2,56.5867,165.8483
2017-09-09,2,56.87,165.2767
2018-06-26,2,63.7203,171.5027
2018-07-18,2,57.0533,162.7967
2018-07-26,1,63.2467,171.245
2018-08-07,1,64.85,172.96
2019-05-15,1,64.1795,171.0227
2022-02-05,2,54.6667,164.95
2006-09-01,1,56.7792,152.4268
2006-09-24,1,56.5817,151.9417
2010-05-01,1,57.43,152.5
2011-12-15,1,57.787,153.507
2011-07-23,1,53.4833,156.4997
2012-07-24,1,56.2917,149.1783
2017-07-07,1,57.175,156.3
2018-08-08,1,55.9313,158.4886
2021-08-21,2,56.8371,152.5153
2021-08-24,2,56.0758,154.1503
2023-09-19,1,55.6033,157.2617
2023-09-20,1,55.7083,157.3317
2023-09-20,1,55.7183,157.36
2023-09-20,2,55.7217,157.4017
2013-06-09,1,53.625,133.2867
2013-10-25,1,48.5173,124.8717
2015-02-14,1,34.0376,120.3724
2017-04-15,1,32.8518,117.2725
2017-05-05,1,34.0113,119.3312
2018-06-04,1,53.0517,132.5967
2020-05-26,1,50.1333,128.45
2021-06-12,1,53.0638,132.6235
2021-07-27,2,52.7436,132.8647
2022-04-19,1,37.1035,122.4334
2023-03-05,1,36.6467,121.9067
