TL,sex,maturity
100-149,f,0
150-199,f,0
150-199,f,0
150-199,f,0
150-199,f,0
150-199,f,0
150-199,f,0
150-199,f,0
150-199,f,0
200-249,f,0
200-249,f,0
200-249,f,0
200-249,f,0
250-299,f,0
250-299,f,0
250-299,f,0
250-299,f,0
250-299,f,0
300-349,f,0
300-349,f,0
300-349,f,0
300-349,f,0
300-349,f,0
300-349,f,0
300-349,f,0
300-349,f,0
300-349,f,0
300-349,f,0
300-349,f,0
300-349,f,0
350-399,f,0
350-399,f,0
350-399,f,0
350-399,f,0
350-399,f,0
350-399,f,0
350-399,f,0
400-449,f,1
400-449,f,1
400-449,f,1
400-449,f,1
400-449,f,1
450-499,f,1
500-549,f,1
100-149,m,0
100-149,m,0
100-149,m,0
100-149,m,0
150-199,m,0
150-199,m,0
150-199,m,0
150-199,m,0
150-199,m,0
150-199,m,0
150-199,m,0
150-199,m,0
200-249,m,0
200-249,m,0
200-249,m,0
250-299,m,0
250-299,m,0
250-299,m,0
250-299,m,0
250-299,m,0
250-299,m,0
250-299,m,0
250-299,m,0
250-299,m,0
250-299,m,0
300-349,m,1
300-349,m,1
300-349,m,0
300-349,m,0
300-349,m,0
300-349,m,0
300-349,m,0
350-399,m,1
350-399,m,1
350-399,m,1
350-399,m,1
350-399,m,1
350-399,m,1
350-399,m,1
350-399,m,1
350-399,m,1
350-399,m,1
350-399,m,1
